Name,Subtotal,Shipping,Taxes,Total,Created at,Billing City,Billing Zip,Billing Province,Billing Country
#1940,49.99,8,0.73,57.99,2016-12-12 19:09:26 +1100,Upper Mount Gravatt,'4122,QLD,AU
#1698,50.3,13.05,5.76,63.35,2016-10-06 15:17:59 +1100,Brisbane,'4122,QLD,AU
#1199,65.9,13.05,7.18,78.95,2015-09-04 20:15:25 +1000,Greenbank,'4124,QLD,AU
#1522,27.44,10.3,3.43,37.74,2016-06-28 18:10:38 +1000,Daisy Hill,'4127,QLD,AU
#1892,55.98,14.45,6.4,70.43,2016-12-07 01:16:11 +1100,Shailer Park,'4128,QLD,AU
#1237,35.91,23.15,5.37,59.06,2015-10-24 10:16:00 +1100,Logan Reserve,'4133,QLD,AU
#1923,54.98,14.45,6.31,69.43,2016-12-11 09:50:23 +1100,Camp Hill,'4152,QLD,AU
#1696,20.92,8,2.63,28.92,2016-10-05 20:50:21 +1100,Camp hill,'4152,QLD,AU
#1274,20.99,8,2.64,28.99,2015-11-16 07:36:07 +1100,Carina,'4152,QLD,AU
#1857,38.99,10.3,4.48,49.29,2016-12-03 07:38:03 +1100,Chandler,'4155,QLD,AU
#1860,73.93,14.45,8.03,88.38,2016-12-03 14:23:12 +1100,CAPALABA,'4157,QLD,AU
#1651,26.44,14.45,3.72,40.89,2016-09-13 10:57:05 +1000,Birkdale,'4159,QLD,AU
#1216,11.95,10.3,2.02,22.25,2015-10-05 18:45:01 +1100,Birkdale,'4159,QLD,AU
#1180,68.85,13.05,1.19,81.9,2015-08-03 11:22:07 +1000,Birkdale,'4159,QLD,AU
#1536,40.94,13.05,4.91,53.99,2016-07-12 05:32:56 +1000,Brisbane,'4160,QLD,AU
#1305,29.99,13.05,3.91,43.04,2015-11-28 15:21:20 +1100,Wellington point,'4160,QLD,AU
#1460,97.52,14.45,10.18,111.97,2016-05-16 13:46:50 +1000,Thornlands,'4164,QLD,AU
#1061,81.87,14.8,8.79,96.67,2015-01-08 19:04:20 +1100,Thornlands,'4164,QLD,AU
#1920,43.49,9.79,4.84,53.28,2016-12-09 23:52:28 +1100,Redland bay,'4165,QLD,AU
#1919,32.99,9.79,3.89,42.78,2016-12-09 23:52:12 +1100,Redland bay,'4165,QLD,AU
#1275,24.99,8,3,32.99,2015-11-16 14:55:04 +1100,Balmoral,'4171,QLD,AU
#1269,16.95,13.05,2.73,30,2015-11-14 06:43:36 +1100,Hawthorne,'4171,QLD,AU
#2046,64.97,15.2,7.29,80.17,2017-02-27 14:47:09 +1100,Tingalpa,'4173,QLD,AU
#1349,55.2,14.45,6.33,69.65,2015-12-10 09:50:09 +1100,Wynnum West ,'4178,QLD,AU
#1036,49.85,25,6.8,74.85,2014-12-02 17:09:15 +1100,Macleay Island,'4184,QLD,AU
#2036,12.5,10.5,2.09,23,2017-02-16 22:15:07 +1100,Yarrabilba,'4207,QLD,AU
#1835,37.99,14.45,4.77,52.44,2016-11-29 12:22:43 +1100,Eagleby,'4207,QLD,AU
#1424,47.94,14.45,5.67,62.39,2016-02-23 19:15:47 +1100,Stapylton,'4207,QLD,AU
#1181,130.74,23.15,13.99,153.89,2015-08-03 11:55:59 +1000,Gold Coast,'4208,QLD,AU
#1324,26.95,8,3.18,34.95,2015-12-04 09:24:24 +1100,Upper Coomera,'4209,QLD,AU
#1393,53.38,13.05,6.04,66.43,2015-12-28 13:46:03 +1100,WONGAWALLAN,'4210,QLD,AU
#1049,19.95,7.5,2.5,27.45,2014-12-11 22:40:51 +1100,gold coast,'4211,QLD,AU
#1015,42.85,12.5,3.85,55.35,2014-11-04 22:44:50 +1100,gold coast,'4211,QLD,AU
#1821,26.79,10.3,3.37,37.09,2016-11-26 22:56:09 +1100,sanctuary cove,'4212,QLD,AU
#1336,192.13,30,20.19,222.13,2015-12-07 11:11:40 +1100,Gold Coast,'4212,QLD,AU
#1565,40.98,10.3,4.66,51.28,2016-08-03 10:32:36 +1000,Labrador,'4215,QLD,AU
#1235,24.99,10.3,3.21,35.29,2015-10-22 09:47:13 +1100,southport,'4215,QLD,AU
#2056,53.97,24.15,7.1,78.12,2017-03-05 14:16:57 +1100,Gold Coast- Royal Pines,'4217,QLD,AU
#1796,35.98,13.05,4.46,49.03,2016-11-21 21:26:59 +1100,Bundall,'4217,QLD,AU
#1807,19.99,9.79,2.71,29.78,2016-11-23 19:08:11 +1100,Broadbeach,'4218,QLD,AU
#1967,24.93,14.45,3.58,39.38,2016-12-15 13:31:51 +1100,Miami,'4220,QLD,AU
#1730,126.78,14.45,12.84,141.23,2016-11-02 15:46:49 +1100,Elanora,'4221,QLD,AU
#1341,29.99,13.05,3.91,43.04,2015-12-08 17:51:00 +1100,ROBINA,'4226,QLD,AU
#2112,41.88,10.5,4.76,52.38,2017-05-06 11:46:42 +1000,Cryna,'4285,QLD,AU
#1775,31.99,14.45,4.22,46.44,2016-11-16 18:55:17 +1100,CEDAR VALE,'4285,QLD,AU
#1310,62.85,16.25,7.19,79.1,2015-11-29 22:30:04 +1100,Springfield,'4300,QLD,AU
#1298,24.99,13.05,3.46,38.04,2015-11-25 13:49:14 +1100,Brisbane ,'4300,QLD,AU
#1179,71.24,16.25,7.95,87.49,2015-08-01 21:49:07 +1000,SPRINGFIELD LAKES,'4300,QLD,AU
#1406,24.99,14.45,3.59,39.44,2016-01-19 15:15:00 +1100,REDBANK PLAINS,'4301,QLD,AU
#2083,109.79,13.4,11.2,123.19,2017-03-25 23:24:55 +1100,Eastern Heights,'4305,QLD,AU
#1826,140.89,23.75,14.97,164.64,2016-11-28 12:29:41 +1100,East Ipswich,'4305,QLD,AU
#1726,38.23,13.05,4.66,51.28,2016-10-29 15:28:21 +1100,Ipswich,'4305,QLD,AU
#1570,69.99,13.05,7.55,83.04,2016-08-05 21:11:44 +1000,IPSWICH,'4305,QLD,AU
#1373,49.99,10.3,0.94,60.29,2015-12-15 23:15:00 +1100,Ipswich,'4305,QLD,AU
#1099,24.8,7.5,0.68,32.3,2015-04-13 12:22:39 +1000,One Mile,'4305,QLD,AU
#1114,83.5,25,9.86,108.5,2015-05-01 21:22:30 +1000,Wivenhoe Pocket,'4306,QLD,AU
#1732,69.98,13.05,7.55,83.03,2016-11-03 12:39:56 +1100,Mount Hallen,'4312,QLD,AU
